Time,MemOccupy %Free,CpuTotalUsage(%),Little CPU Freq(Hz),Big CPU Freq(Hz),GPU Utilization(%),GPUBandwidth(MB/s),Current(mA),Temperature(C),Volatge(V),Power(W),cpu0 util,cpu1 util,cpu2 util,cpu3 util,LITTLE util,cpu4 util,cpu5 util,cpu6 util,cpu7 util,Big util
15:28:52 650,0.03,30.11,1844000,903000,18,6576,-406,330,4.284205,-1.74,4.3,5.38,6.45,9.68,25.81,0,1.08,0,0,1.08
15:28:52 774,0.03,44.68,1844000,2362000,2,17913,-456,330,4.281464,-1.95,9.57,7.45,9.57,8.51,35.11,1.06,11.7,1.06,0,13.83
15:28:52 891,0.03,49.5,1844000,2362000,13,17913,-1299,330,4.229746,-5.49,5.94,5.94,3.96,4.95,20.79,6.93,11.88,3.96,4.95,27.72
15:28:53 016,0.03,49.45,999000,2362000,27,17913,-1542,330,4.214287,-6.5,2.2,2.2,3.3,5.49,13.19,6.59,12.09,7.69,7.69,34.07
15:28:53 138,0.03,59.18,1402000,2362000,20,17913,-1800,330,4.197198,-7.55,6.12,6.12,8.16,4.08,24.49,7.14,9.18,12.24,8.16,36.73
15:28:53 259,0.03,51.69,1402000,2362000,8,17913,-1600,330,4.209733,-6.74,2.25,1.12,7.87,5.62,16.85,7.87,8.99,6.74,7.87,31.46
15:28:53 374,0.03,53.12,1709000,2362000,7,17913,-1401,330,4.221846,-5.91,4.17,4.17,5.21,4.17,17.71,9.38,9.38,8.33,8.33,35.42
15:28:53 489,0.03,50.54,1709000,2362000,7,17913,-1590,330,4.210146,-6.69,3.23,4.3,5.38,2.15,15.05,8.6,7.53,10.75,9.68,36.56
15:28:53 623,0.03,42.39,1402000,2362000,7,17913,-1562,330,4.211215,-6.58,3.26,5.43,5.43,4.35,18.48,8.7,4.35,7.61,3.26,23.91
15:28:53 739,0.03,29.41,1844000,2362000,14,17913,-1234,330,4.231199,-5.22,6.86,4.9,5.88,7.84,25.49,4.9,0,0,0,4.9
15:28:53 852,0.03,17.2,1709000,2362000,8,17913,-748,330,4.261892,-3.19,2.15,4.3,5.38,4.3,16.13,0,0,0,0,0
